NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
What is the {author} and the {cover artist} of {Treasure_Island} ?,10061,two intentions right subgraph,177,Who is the author of and who illustrated the cover of Treasure Island?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q185118 wdt:P50 ?ans_1 . wd:Q185118 wdt:P736 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q185118> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P50> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q185118> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P736> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),Who wrote & Illustrated the book Treasure Island?,SELECT ?ans_1 ?ans_2 WHERE { [Treasure Island] [author] ?ans_1 . [Treasure Island] [cover art by] ?ans_2 },"['[cover art by] is name of person or team creating cover artwork for book, record album, single record etc.', '[author] is main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist', '[Treasure Island] is novel by the Scottish author Robert Louis Stevenson', '[Treasure Island] is novel by the Scottish author Robert Louis Stevenson']"
what is the {series ordinal} for {osmium tetroxide} has {ionization energy} as {12.6} ?,3733,statement_property,178,which series ordinal of osmium tetroxide has ionization energy of 12.6?,"SELECT ?value WHERE { wd:Q422021 p:P2260 ?s . ?s ps:P2260 ?x filter(contains(?x,'12.6')) . ?s pq:P1545 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q422021> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2260> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <12.6> .
?statement <http://www.wikidata.org/entity/P1545> ?value. 
} 
",(E pred ?Obj ) prop value,The ionization energy of 12.6 belongs to which series ordinal of osmium tetroxide?,"SELECT ?value WHERE { [osmium tetroxide] [ionization energy] ?s . ?s [ionization energy] ?x filter(contains(?x,'12.6')) . ?s [series ordinal] ?value}","['[ionization energy] is minimum amount of energy required to remove an electron from an atom, ion or molecule in the gaseous state', '[ionization energy] is minimum amount of energy required to remove an electron from an atom, ion or molecule in the gaseous state', '[osmium tetroxide] is chemical compound', '[series ordinal] is position of an item in its parent series (most frequently a 1-based index), generally to be used as a qualifier (different from ""rank"" defined as a class, and from ""ranking"" defined as a property for evaluating a quality).']"
What is {nominated for} of {Christian Lous Lange} that is {point in time} is {1919-1-1} ?,3725,statement_property,170,What was Christian Lous Lange nominated for in 1919?,"SELECT ?obj WHERE { wd:Q206446 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1919')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q206446> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1411> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <1919-1-1>
} 
",(E pred F) prop ?value,What was Christian Lous Lange designated for in 1919?,"SELECT ?obj WHERE { [Christian Lous Lange] [nominated for] ?s . ?s [nominated for] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'1919')) }","['[nominated for] is award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))', '[nominated for] is award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))', '[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[Christian Lous Lange] is Norwegian diplomat and Nobel Peace Prize recipient (1869-1938)']"
What is {member of sports team} of {Tom Finney} that is {number of matches played} is {433.0} ?,5208,statement_property,1653,For what team did Tom Finney play 433 matches for?,"SELECT ?obj WHERE { wd:Q352338 p:P54 ?s . ?s ps:P54 ?obj . ?s pq:P1350 ?x filter(contains(?x,'433.0')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q352338> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P54> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P1350> <433.0>
} 
",(E pred F) prop ?value,What team did Tom Finney play 433 matches for?,"SELECT ?obj WHERE { [Tom Finney] [member of sports team] ?s . ?s [member of sports team] ?obj . ?s [number of matches played/races/starts] ?x filter(contains(?x,'433.0')) }","['[Tom Finney] is English footballer (1922-2014)', '[member of sports team] is sports teams or clubs that the subject represents or represented', '[number of matches played/races/starts] is matches or games a player or a team played during an event. Also a total number of matches a player officially appeared in during the whole career.', '[member of sports team] is sports teams or clubs that the subject represents or represented']"
What is {ultimate cause} of {participant in conflict} of {Vasily Blyukher} ?,16144,right-subgraph,3527,In which conflict was Vasily Blyukher involved ?,SELECT ?answer WHERE { wd:Q48129 wdt:P607 ?X . ?X wdt:P828 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q48129> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P607>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P828> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,Which conflict was Vasily Blyukher part of?,SELECT ?answer WHERE { [Vasily Blyukher] [conflict] ?X . ?X [has cause] ?answer},"['[has cause] is underlying cause, entity that ultimately resulted in this effect', '[conflict] is battles, wars or other military engagements in which the person or item participated', '[Vasily Blyukher] is Soviet marshal (1889–1938)']"
"What is {in administrative unit} of {Nonthaburi}, that has {inhabitants} is {332388.0} ?",13692,right-subgraph,41,"""Which in the Administrative unit of Nonthaburi, has the inhabitants amount of 332388.0?""","SELECT ?answer WHERE { wd:Q768864 wdt:P131 ?answer . ?answer wdt:P1082 ?x FILTER(contains(?x,'332388.0'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q768864> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P131>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <332388.0> . },E REF ?F . ?F RFG G,"""Which within the Regulatory unit of Nonthaburi, has the occupants sum of 332388.0?""","SELECT ?answer WHERE { [Nonthaburi] [located in the administrative territorial entity] ?answer . ?answer [population] ?x FILTER(contains(?x,'332388.0'))}","['[population] is number of people inhabiting the place; number of people of subject', '[Nonthaburi] is city in Nonthaburi province, Thailand', '[located in the administrative territorial entity] is the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.']"
Give me {social} that {intangible cultural heritage status} {inventory of the immaterial cultural patrimony of France} and which contains the word {day} in their name,25295,string matching type + relation contains word,2114,What what is animated nonprofit organization distributed by MGM and English,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q345367 . ?sbj wdt:P3259 wd:Q21011287 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'day')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q345367>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3259> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q21011287>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'day')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,What what is enlivened nonprofit organization dispersed by MGM and English,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [social] . ?sbj [intangible cultural heritage status] [National Inventory of Intangible Cultural Heritage in France] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'day')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[intangible cultural heritage status] is status of an item that is designated as intangible heritage', '[National Inventory of Intangible Cultural Heritage in France] is national inventory of intangible cultural heritage in Paris', '[social] is relating to society or its organization', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {history} of {opposite} of {liberty} ?,17338,left-subgraph,7,What is the history of oppression?,SELECT ?answer WHERE { wd:Q2979 wdt:P461 ?X . ?X wdt:P2184 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2979> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P461>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2184> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,What is the history of oppression?,SELECT ?answer WHERE { [liberty] [opposite of] ?X . ?X [history of topic] ?answer},"['[history of topic] is item about the historical development of a subject\'s topic, example: ""history of Argentina"" for ""Argentina"". To list key events of the topic, use ""significant event"" (P793)', '[opposite of] is item that is in some way the opposite of this item', '[liberty] is ability of individuals to have agency']"
Give me {programming language implementation} that starts with {'y'},24816,string matching simple contains word,1638,Tell me which programming language implementation starts with the letter y?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q4117406 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'y')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q4117406>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'y')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Let me know which programming dialect execution begins with the letter y?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [implementation of a programming language] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'y')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[implementation of a programming language] is software package for processing and executing computer programs in some language', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
Give me {aspect of history} that contains the word {propaganda} in their name,23389,string matching simple contains word,3484,tell me aspect of history name has the word propaganda it it,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q17524420 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'propaganda')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q17524420>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'propaganda')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,let me know angle of history title has the word purposeful publicity it it,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [aspect of history] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'propaganda')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[aspect of history] is topic viewed from a historical point of view']"
How many {architect} are for {St. Peter's Basilica} ?,1610,statement_property,610,How many architects worked on the St. Peter's Basilica?,SELECT (COUNT(?obj) AS ?value ) { wd:Q12512 wdt:P84 ?obj },"SELECT (COUNT(?obj) AS ?objs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q12512> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P84> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
} 
",Count Obj (ent-pred-obj),What is the total number of architects that worked on St Peter's Basilica?,SELECT (COUNT(?obj) AS ?value ) { [St. Peter's Basilica] [architect] ?obj },"['[architect] is person or architectural firm responsible for designing this building', ""[St. Peter's Basilica] is church in Vatican City""]"
Did {Miles_Davis} {record label} {RCA Records} and {Capitol Records} ?,756,boolean double one_hop right subgraph,256,Did Miles Davis record and label the RCA and Capitol Records?,ASK WHERE { wd:Q93341 wdt:P264 wd:Q202585 . wd:Q93341 wdt:P264 wd:Q193023 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q93341> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P264> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q202585>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q93341> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P264> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q193023>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),WHO recorded and tagged the RCA and Capitol Records?,ASK WHERE { [Miles Davis] [record label] [RCA Records] . [Miles Davis] [record label] [Capitol Records] },"['[Capitol Records] is American record label', '[record label] is brand and trademark associated with the marketing of subject music recordings and music videos', '[record label] is brand and trademark associated with the marketing of subject music recordings and music videos', '[Miles Davis] is American jazz trumpeter, bandleader, and composer (1926–1991)', '[RCA Records] is American record label', '[Miles Davis] is American jazz trumpeter, bandleader, and composer (1926–1991)']"
What is {inhabitants} of {state} of {Mbuji-Mayi} ?,14693,right-subgraph,858,who inhabitants} of state of mbuji-mayi ?,SELECT ?answer WHERE { wd:Q319660 wdt:P17 ?X . ?X wdt:P1082 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q319660> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P17>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,Which are the inhabitants of state of mbuji-mayi?,SELECT ?answer WHERE { [Mbuji-Mayi] [country] ?X . ?X [population] ?answer},"['[population] is number of people inhabiting the place; number of people of subject', '[country] is sovereign state that this item is in (not to be used for human beings)', '[Mbuji-Mayi] is capital city of Kasai-Oriental Province in the south-central Democratic Republic of Congo']"
What is the {confederation} for {head of government} of {Jefferson Davis},21783,simple question left,2129,State the confederation of Jefferson Davis?, select distinct ?sbj where { ?sbj wdt:P6 wd:Q162269 . ?sbj wdt:P31 wd:Q170156 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P6> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q162269> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q170156> } ,<?S P O ; ?S InstanceOf Type>,What nation is Jeferson Davis a part of?, select distinct ?sbj where { ?sbj [head of government] [Jefferson Davis] . ?sbj [instance of] [confederation] } ,"['[head of government] is head of the executive power of this town, city, municipality, state, country, or other governmental body', '[confederation] is union of sovereign states linked by treaties, whose common government does not directly exercise its sovereignty over their territory', '[Jefferson Davis] is President of the Confederate States from 1861 to 1865', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {spouse} of {Diane von Fürstenberg} that is {start time} is {1969-1-1} ?,5390,statement_property,1835,Who did Diane von Furstenberg marry in 1969MacGraw,"SELECT ?obj WHERE { wd:Q272438 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1969')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q272438> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P580> <1969-1-1>
} 
",(E pred F) prop ?value,Name the person whom Diane von Furstenberg married during the year 1969.,"SELECT ?obj WHERE { [Diane von Fürstenberg] [spouse] ?s . ?s [spouse] ?obj . ?s [start time] ?x filter(contains(YEAR(?x),'1969')) }","['[start time] is time an entity begins to exist or a statement starts being valid', '[spouse] is the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions', '[spouse] is the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions', '[Diane von Fürstenberg] is Belgian-born American fashion designer']"
What is the {language family} for {native language} of {chupenme la pija giles ndeahhre},20343,simple question right,689,"""chupenme la pija giles ndeahhre""' is written in what language?", select distinct ?obj where { wd:Q36747 wdt:P103 ?obj . ?obj wdt:P31 wd:Q25295 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q36747> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P103> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q25295> } , <S P ?O ; ?O instanceOf Type>,"""chupenme la pija giles ndeahhre""' is composed in what language?", select distinct ?obj where { [Indigenous peoples of the Americas] [native language] ?obj . ?obj [instance of] [language family] } ,"['[language family] is group of languages related through descent from a common ancestor', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[native language] is language or languages a person has learned from early childhood', '[Indigenous peoples of the Americas] is peoples indigenous to the Western Hemisphere']"
What is {commodity} of {built by} of {HH-60 Jayhawk} ?,17726,left-subgraph,1855,What was the HH-60 Jayhawk developed from?,SELECT ?answer WHERE { wd:Q1892024 wdt:P176 ?X . ?X wdt:P1056 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1892024> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P176>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1056> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,What was the HH-60 Jayhawk created from?,"SELECT ?answer WHERE { [MH-60 Jayhawk] [manufacturer] ?X . ?X [product, material, or service produced or provided] ?answer}","['[MH-60 Jayhawk] is search and rescue helicopter series by Sikorsky', '[product, material, or service produced or provided] is material or product produced or sold by an organization, industry, facility, or process', '[manufacturer] is (main or final) manufacturer or producer of this product']"
What is {field of this craft} of {craft} of {Markwayne Mullin} ?,16250,left-subgraph,25,Which role does Markwayne Mullin play in government?,SELECT ?answer WHERE { wd:Q3448772 wdt:P106 ?X . ?X wdt:P425 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3448772> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P106>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P425> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which part does Markwayne Mullin play in government?,SELECT ?answer WHERE { [Markwayne Mullin] [occupation] ?X . ?X [field of this occupation] ?answer},"['[occupation] is occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39)', '[field of this occupation] is field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)', '[Markwayne Mullin] is American politician (born 1977)']"
"What is {dubbed by} of {series} of {Pretty, Pretty Dresses} ?",14958,left-subgraph,401,"Who dubbed the series Pretty, Pretty Dresses?",SELECT ?answer WHERE { wd:Q32825539 wdt:P179 ?X . ?X wdt:P725 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q32825539> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P179>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P725> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,"Who named the arrangement Lovely, Beautiful Dresses?","SELECT ?answer WHERE { [Pretty, Pretty Dresses] [part of the series] ?X . ?X [voice actor] ?answer}","['[part of the series] is series which contains the subject', '[Pretty, Pretty Dresses] is episode of TV series King of the Hill', '[voice actor] is performer of a spoken role in a creative work such as animation, video game, radio drama, or dubbing over [use ""character role"" (P453) as qualifier] [use ""cast member"" (P161) for live acting]']"
What is {subdivided into} of {land} of {Dubrovka} ?,14589,left-subgraph,2097,What is the subdivided into  of the land of Dubrovka ?,SELECT ?answer WHERE { wd:Q4903 wdt:P17 ?X . ?X wdt:P150 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q4903> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P17>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P150> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,What are the subdivisions of the land of Dubrovka?,SELECT ?answer WHERE { [Dubrovka] [country] ?X . ?X [contains the administrative territorial entity] ?answer},"['[country] is sovereign state that this item is in (not to be used for human beings)', '[contains the administrative territorial entity] is (list of) direct subdivisions of an administrative territorial entity', '[Dubrovka] is urban-type settlement in Leningrad Oblast, Russia']"
What is {date of death} of {Akiva ben Joseph} that is {instance of} is {statement with Gregorian date earlier than 1584} ?,5957,statement_property,2402,When was the death date of Akiva Ben Joseph according to the Pre-1584 Gregorian Calendar?,SELECT ?obj WHERE { wd:Q310821 p:P570 ?s . ?s ps:P570 ?obj . ?s pq:P31 wd:Q26961029 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q310821> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P570> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q26961029>
} 
",(E pred F) prop ?value,"When did Akiva Ben Joseph die, according to the pre-1584 Gregorian calendar?",SELECT ?obj WHERE { [Akiva ben Joseph] [date of death] ?s . ?s [date of death] ?obj . ?s [instance of] [statement with Gregorian date earlier than 1584] },"['[statement with Gregorian date earlier than 1584] is item used for marking statements in relation to Phabricator ticket T105100', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[Akiva ben Joseph] is Jewish scholar and sage (c. 50 – c.135)', '[date of death] is date on which the subject died', '[date of death] is date on which the subject died']"
