NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
What is {coordinate location} of {Rhine} that is {applies to part} is {river source} ?,4691,statement_property,1136,Where is the river source of the Rhine?,SELECT ?obj WHERE { wd:Q584 p:P625 ?s . ?s ps:P625 ?obj . ?s pq:P518 wd:Q7376362 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q584> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P625> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P518> <http://wikidata.dbpedia.org/resource/Q7376362>
} 
",(E pred F) prop ?value,Where does the river Rhine originate from?,SELECT ?obj WHERE { Rhine p:P625 ?s . ?s ps:P625 ?obj . ?s pq:P518 river source }
What is {nominated for} of {Cate Blanchett} that is {for work} is {I'm Not There} ?,8824,statement_property,5269,What was Cate Blanchett nominated for her work in I'm Not There?,SELECT ?obj WHERE { wd:Q80966 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P1686 wd:Q816772 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q80966> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1411> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P1686> <http://wikidata.dbpedia.org/resource/Q816772>
} 
",(E pred F) prop ?value,What was Cate blanchett work 'I'm Not There' nominated for,SELECT ?obj WHERE { Cate Blanchett p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P1686 I'm Not There }
Give me {tower} that {depicted by} {Tower of Babel} and which contains the word {babel} in their name,25234,string matching type + relation contains word,2020,Tell me the tower that is depicted as Tower of Babel and contains the word babel in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q12518 . ?sbj wdt:P1299 wd:Q2899725 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'babel')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q12518>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1299> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q2899725>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'babel')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Tell me the tower that is depicted as Tower of Babel and includes the word babel in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of tower . ?sbj depicted by Tower of Babel . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'babel')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
Does the {maximum wavelength of sensitivity} of the {human eye} {equals} {700},18659,boolean with filter,677,is the maximum wavelength of sensitivity of the human eye equal to 700?,ASK WHERE { wd:Q430024 wdt:P3737 ?obj filter(?obj = 700) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q430024> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3737>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 700) },ASK ?sbj ?pred ?obj filter ?obj = num,Is 700 the maximum wavelength of sensitivity of the human eye?,ASK WHERE { human eye maximum wavelength of sensitivity ?obj filter(?obj = 700) } 
"What is {location born} of {Hermann Heinrich Gossen}, that has {Q48460} is {2--4355126} ?",13631,right-subgraph,1067,"Where was the location of birth of Hermann Heinrich Gossen, that has Q48460 such that 2--4355126?","SELECT ?answer WHERE { wd:Q62835 wdt:P19 ?answer . ?answer wdt:P1036 ?x FILTER(contains(?x,'2--4355126'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q62835> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P19>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1036> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <2--4355126> . },E REF ?F . ?F RFG G,"Where was once the region of beginning of Hermann Heinrich Gossen, that has Q48460 such that 2--4355126?","SELECT ?answer WHERE { Hermann Heinrich Gossen place of birth ?answer . ?answer Dewey Decimal Classification ?x FILTER(contains(?x,'2--4355126'))}"
what is the {followed by} for {Mo Yan} has {award received} as {Nobel Prize in Literature} ?,4841,statement_property,1286,Who received the Nobel Prize in Literature after Mo Yan?,SELECT ?value WHERE { wd:Q8998 p:P166 ?s . ?s ps:P166 wd:Q37922 . ?s pq:P156 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q8998> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q37922> .
?statement <http://www.wikidata.org/entity/P156> ?value. 
} 
",(E pred ?Obj ) prop value,Give me the person name who received nobel literature prize after Mo yan?,SELECT ?value WHERE { Mo Yan p:P166 ?s . ?s ps:P166 Nobel Prize in Literature . ?s pq:P156 ?value}
what is the {point in time} for {Eiji Toyoda} has {award received} as {Order of Prince Henry} ?,7924,statement_property,4369,When did Eiji Toyoda win an award for his work in Order of Prince Henry?,SELECT ?value WHERE { wd:Q1141740 p:P166 ?s . ?s ps:P166 wd:Q93488 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1141740> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q93488> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,Which year was Eiji Toyoda awarded for his work in Order of Prince Henry?,SELECT ?value WHERE { Eiji Toyoda p:P166 ?s . ?s ps:P166 Order of Prince Henry . ?s pq:P585 ?value}
"What is {worked for} of {Michelle Wolf}, that has {source location of group/organisation} is {New York City} ?",12619,right-subgraph,843,Who are worked for Michelle Wolf and its source location of group/organisation is located in New York City?,SELECT ?answer WHERE { wd:Q23883085 wdt:P108 ?answer . ?answer wdt:P740 wd:Q60},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q23883085> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P108>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P740> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q60> . },E REF ?F . ?F RFG G,Who are labored for Michelle Wolf and its source place of group/organisation is placed in New York City?,SELECT ?answer WHERE { Michelle Wolf employer ?answer . ?answer location of formation New York City}
Give me {unit of measurement} that contains the word {visus} in their name,23672,string matching simple contains word,2726,What are the unit of measurement which start with the letter visus,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q47574 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'visus')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q47574>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'visus')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,What is the measuring unit that starts with the letter visus?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of unit of measurement . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'visus')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
what is the {publication date} for {iTunes} has {software version} as {12.7.5} ?,8566,statement_property,5011,what was the publication date for iTunes which has software version as 12.7.5?,"SELECT ?value WHERE { wd:Q9589 p:P348 ?s . ?s ps:P348 ?x filter(contains(?x,'12.7.5')) . ?s pq:P577 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q9589> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P348> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <12.7.5> .
?statement <http://www.wikidata.org/entity/P577> ?value. 
} 
",(E pred ?Obj ) prop value,When was iTunes version 12.7.5 published?,"SELECT ?value WHERE { iTunes p:P348 ?s . ?s ps:P348 ?x filter(contains(?x,'12.7.5')) . ?s pq:P577 ?value}"
What is the {structured programming language} for {designed by} of {Dennis M. Ritchie},20633,simple question left,979,Dennis M. Ritchie designed which structured programming language?, select distinct ?sbj where { ?sbj wdt:P287 wd:Q45575 . ?sbj wdt:P31 wd:Q28920117 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P287> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q45575> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q28920117> } ,<?S P O ; ?S InstanceOf Type>,Dennis M. Ritchie outlined which organized programming language?, select distinct ?sbj where { ?sbj designed by Dennis M. Ritchie . ?sbj instance of structured programming language } 
what is the {object has role} for {Mickey Mouse} has {contributor(s) to the creative work} as {Ben Sharpsteen} ?,4940,statement_property,1385,What role does Mickey Mouse play in the creative work of Ben Sharpsteen?,SELECT ?value WHERE { wd:Q11934 p:P767 ?s . ?s ps:P767 wd:Q2549739 . ?s pq:P3831 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q11934> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P767> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q2549739> .
?statement <http://www.wikidata.org/entity/P3831> ?value. 
} 
",(E pred ?Obj ) prop value,How does Mickey Mouse feature in the creative work of Ben Sharpsteen?,SELECT ?value WHERE { Mickey Mouse p:P767 ?s . ?s ps:P767 Ben Sharpsteen . ?s pq:P3831 ?value}
What is {stock exchange} of {Tencent} that is {ticker symbol} is {0700} ?,7338,statement_property,3783,What is the stock exchange for the ticker symbol 0700 in Tencent?,"SELECT ?obj WHERE { wd:Q860580 p:P414 ?s . ?s ps:P414 ?obj . ?s pq:P249 ?x filter(contains(?x,'0700')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q860580> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P414> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P249> <0700>
} 
",(E pred F) prop ?value,What is the the symbol for stock 0700 in Tencent?,"SELECT ?obj WHERE { Tencent p:P414 ?s . ?s ps:P414 ?obj . ?s pq:P249 ?x filter(contains(?x,'0700')) }"
What is the {head of state} and the {office held by head of state} of {Soviet_Union} ?,10204,two intentions right subgraph,630,What are the head of state and the office held by head of state of the Soviet Union?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q15180 wdt:P35 ?ans_1 . wd:Q15180 wdt:P1906 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q15180> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P35> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q15180> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1906> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),What is the head of state of the Soviet Union?,SELECT ?ans_1 ?ans_2 WHERE { Soviet Union head of state ?ans_1 . Soviet Union office held by head of state ?ans_2 }
what is the {award received} for {Dawn Fraser} has {participant of} as {1960 Summer Olympics} ?,8829,statement_property,5274,What is the name of award recieved for Dawn Fraser has participant of 1960 Summer Olympics ?,SELECT ?value WHERE { wd:Q229040 p:P1344 ?s . ?s ps:P1344 wd:Q8415 . ?s pq:P166 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q229040> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1344> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q8415> .
?statement <http://www.wikidata.org/entity/P166> ?value. 
} 
",(E pred ?Obj ) prop value,What award did Dawn Fraser get in the 1960 Olympics?,SELECT ?value WHERE { Dawn Fraser p:P1344 ?s . ?s ps:P1344 1960 Summer Olympics . ?s pq:P166 ?value}
What is the {international organization} for {parent organization} of {International Court of Justice},22791,simple question right,3852,What is the parent organization for the International Court of Justice?, select distinct ?obj where { wd:Q7801 wdt:P749 ?obj . ?obj wdt:P31 wd:Q484652 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7801> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P749> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q484652> } , <S P ?O ; ?O instanceOf Type>,What is the parent organization for the Universal Court of Justice?, select distinct ?obj where { International Court of Justice parent organization ?obj . ?obj instance of international organization } 
what is the {start time} for {Sarajevo} has {twinned administrative body} as {Serre Chevalier} ?,9437,statement_property,5882,What is the beginning of Sarajevo's,SELECT ?value WHERE { wd:Q11194 p:P190 ?s . ?s ps:P190 wd:Q2274046 . ?s pq:P580 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q11194> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q2274046> .
?statement <http://www.wikidata.org/entity/P580> ?value. 
} 
",(E pred ?Obj ) prop value,When was the start of Sarajevo's?,SELECT ?value WHERE { Sarajevo p:P190 ?s . ?s ps:P190 Serre Chevalier . ?s pq:P580 ?value}
What is {significant event} of {Michelle Bachelet} that is {point in time} is {1978-6-1} ?,7703,statement_property,4148,What significant event in 1978-6-1 is Michelle Bachelet known for?,"SELECT ?obj WHERE { wd:Q320 p:P793 ?s . ?s ps:P793 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1978')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q320> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P793> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <1978-6-1>
} 
",(E pred F) prop ?value,What did Michelle Bachelet do on 6/1/1978?,"SELECT ?obj WHERE { Michelle Bachelet p:P793 ?s . ?s ps:P793 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1978')) }"
What is {solubility} of {methyl chloride} that is {solvent} is {water} ?,5235,statement_property,1680,What is the solubility of methyl chloride in water?,SELECT ?obj WHERE { wd:Q422709 p:P2177 ?s . ?s ps:P2177 ?obj . ?s pq:P2178 wd:Q283 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q422709> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2177> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P2178> <http://wikidata.dbpedia.org/resource/Q283>
} 
",(E pred F) prop ?value,Which is the solubility of methyl chloride in water?,SELECT ?obj WHERE { methyl chloride p:P2177 ?s . ?s ps:P2177 ?obj . ?s pq:P2178 water }
What is {coordinate location} of {Delaware River} that is {applies to part} is {river source} ?,4744,statement_property,1189,What five U.S. states does the Delaware River drain from?,SELECT ?obj WHERE { wd:Q143762 p:P625 ?s . ?s ps:P625 ?obj . ?s pq:P518 wd:Q7376362 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q143762> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P625> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P518> <http://wikidata.dbpedia.org/resource/Q7376362>
} 
",(E pred F) prop ?value,Delaware rivers drains from what 5 us states,SELECT ?obj WHERE { Delaware River p:P625 ?s . ?s ps:P625 ?obj . ?s pq:P518 river source }
What is {first language} of {people} of {Chizoba Ejike} ?,17517,left-subgraph,36,Which birth language is Chizoba Ejike?,SELECT ?answer WHERE { wd:Q21197460 wdt:P172 ?X . ?X wdt:P103 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q21197460> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P172>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P103> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which birth dialect is Chizoba Ejike?,SELECT ?answer WHERE { wd:Q21197460 ethnic group ?X . ?X native language ?answer}
What is {creators} of {language of the original work} of {Star Trek Into Darkness} ?,15773,left-subgraph,7,Who is {creators} of {language of the original work} {Star Trek Into Darkness} ?,SELECT ?answer WHERE { wd:Q171711 wdt:P364 ?X . ?X wdt:P170 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q171711> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P364>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P170> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who were the creators for the language of the original work of Star Trek Into Darkness?,SELECT ?answer WHERE { Star Trek Into Darkness original language of film or TV show ?X . ?X creator ?answer}
What is {inhabitants} of {nationality} of {Leopold von Sacher-Masoch} ?,14322,right-subgraph,2748,What is {inhabitants} {nationality} of {Leopold von Sacher-Masoch} ?,SELECT ?answer WHERE { wd:Q78474 wdt:P27 ?X . ?X wdt:P1082 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q78474> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P27>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What is {inhabitants} {nationality} of {Leopold von Sacher-Masoch} ?,SELECT ?answer WHERE { Leopold von Sacher-Masoch country of citizenship ?X . ?X population ?answer}
What is the {university building} for {affiliation} of {Columbia University},21785,simple question left,2131,What is the affiliation building in Columbia University, select distinct ?sbj where { ?sbj wdt:P1416 wd:Q49088 . ?sbj wdt:P31 wd:Q19844914 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1416> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q49088> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q19844914> } ,<?S P O ; ?S InstanceOf Type>,What is the Columbia University affiliation building?, select distinct ?sbj where { ?sbj affiliation Columbia University . ?sbj instance of university building } 
What is the {commune of France} with the {MIN(population)} whose {located in time zone} is {UTC+01:00}  ?,3405,rank,627,What is the commune of France with the lowest population whose located in time zone is UTC+01:00?,select ?ent where { ?ent wdt:P31 wd:Q484170 . ?ent wdt:P1082 ?obj . ?ent wdt:P421 wd:Q6655} ORDER BY ASC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q484170>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P421> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q6655> .

}
ORDER BY ASC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value),What is the smallest French city in time zone UTC+01:00?,select ?ent where { ?ent instance of commune of France . ?ent population ?obj . ?ent located in time zone UTC+01:00} ORDER BY ASC(?obj)LIMIT 5 
What is the {district of the city} with the {MAX(number of houses)} whose {instance of} is {district of the city}  ?,2892,rank,91,What is the district of the city with the MAX(number of houses whose instance of is district of the city?,select ?ent where { ?ent wdt:P31 wd:Q21851888 . ?ent wdt:P4080 ?obj . ?ent wdt:P31 wd:Q21851888 } ORDER BY DESC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q21851888>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4080>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q21851888> .

}
ORDER BY DESC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value),What district in the city has the MAX number of houses whose instance is in the district of the city?,select ?ent where { ?ent instance of self-governing city part in the Czech Republic . ?ent number of houses ?obj . ?ent instance of self-governing city part in the Czech Republic } ORDER BY DESC(?obj)LIMIT 5 
What is {ordinal number} of {season begins} of {Handball-Bundesliga} ?,17714,right-subgraph,437,How many seasons of Handball-Bundesliga are there?,SELECT ?answer WHERE { wd:Q175762 wdt:P4794 ?X . ?X wdt:P1545 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q175762> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4794>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1545> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,How numerous seasons of Handball-Bundesliga are there?,SELECT ?answer WHERE { Handball-Bundesliga season starts ?X . ?X series ordinal ?answer}
